   37.7  22555  -54.9  -86.7      1   0.01     85      5  556.6  556.7  556.6
   37.3  22626  -54.7  -86.7      1   0.01     70      5  559.0  559.1  559.0
   34.3  23165  -54.4  -86.4      1   0.01    315      1  573.5  573.5  573.5
   32.7  23470  -54.2  -86.2      1   0.01     85     13  581.8  581.9  581.8
   31.2  23774  -54.0  -86.0      1   0.01    120     18  590.2  590.3  590.2
   30.0  24020  -53.9  -85.9      1   0.01    170     13  597.1  597.2  597.1
   28.4  24384  -53.6  -85.9      1   0.01    210      9  607.5  607.6  607.5
   27.0  24689  -53.4  -85.9      1   0.01    310     10  616.4  616.5  616.4
   25.8  24994  -53.2  -85.9      1   0.01     15      9  625.4  625.5  625.4
   24.6  25298  -53.0  -85.9      1   0.01     75      6  634.5  634.6  634.5
   24.1  25432  -52.9  -85.9      1   0.01     75      7  638.5  638.7  638.6
   23.5  25603  -52.2  -85.6      1   0.01     75      9  645.4  645.5  645.4
   22.4  25908  -50.9  -85.1      1   0.01     95     12  657.8  657.9  657.8
   20.4  26518  -48.4  -84.1      1   0.02     70     14  683.2  683.4  683.2
   20.0  26650  -47.9  -83.9      1   0.02     60     16  688.8  689.0  688.8
   19.5  26822  -47.5  -83.8      1   0.02     60     18  695.1  695.3  695.1
   18.6  27127  -46.8  -83.5      1   0.02     75     20  706.4  706.6  706.4
   17.8  27432  -46.1  -83.3      1   0.02     65     19  718.0  718.2  718.0
   16.4  27970  -44.9  -82.9      1   0.03     52     25  738.7  739.0  738.7
   16.2  28042  -45.2  -82.9      1   0.03     50     26  740.0  740.3  740.1
   14.8  28651  -47.6  -82.8      1   0.03     60     22  751.6  752.0  751.6
   14.2  28926  -48.7  -82.7      1   0.03     51     16  756.9  757.2  756.9
   14.1  28956  -48.7  -82.7      1   0.03     50     15  758.0  758.4  758.0
   13.5  29261  -48.3  -82.8      1   0.03     65     26  769.3  769.6  769.3
   11.5  30319  -47.1  -83.1      1   0.03     95     21  809.6  810.1  809.7
   11.2  30480  -46.7  -82.9      1   0.04    100     20  816.7  817.2  816.8
   10.1  31183  -44.9  -81.9      1   0.05     91     12  848.4  849.0  848.4
   10.0  31250  -44.1  -82.1      1   0.05     90     11  853.8  854.4  853.8
    9.2  31815  -39.3  -81.3      0   0.06     85     13  892.7  893.5  892.8
    8.2  32599  -41.3  -81.3      1   0.07     78     15  914.7  915.6  914.7
    7.1  33528  -60.9  -86.4      2   0.03     70     18  872.4  872.9  872.4
    7.0  33623  -62.9  -86.9      3   0.03     0      0   867.8  868.2  867.8
